region,distrito,comuna
DEL BIOBIO,DISTRITO 20,TALCAHUANO
DE ANTOFAGASTA,DISTRITO 3,TALTAL
DE LA ARAUCANIA,DISTRITO 23,TEMUCO
DEL MAULE,DISTRITO 17,TENO
DE LA ARAUCANIA,DISTRITO 23,TEODORO SCHMIDT
DE ATACAMA,DISTRITO 4,TIERRA AMARILLA
METROPOLITANA DE SANTIAGO,DISTRITO 8,TILTIL
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,TIMAUKEL
DEL BIOBIO,DISTRITO 21,TIRUA
DE ANTOFAGASTA,DISTRITO 3,TOCOPILLA
DE LA ARAUCANIA,DISTRITO 23,TOLTEN
DEL BIOBIO,DISTRITO 20,TOME
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,TORRES DEL PAINE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,TORTEL
DE LA ARAUCANIA,DISTRITO 22,TRAIGUEN
DE ÑUBLE,DISTRITO 19,TREHUACO
DEL BIOBIO,DISTRITO 21,TUCAPEL
DE LOS RIOS,DISTRITO 24,VALDIVIA
DE ATACAMA,DISTRITO 4,VALLENAR
DE VALPARAISO,DISTRITO 7,VALPARAISO
DEL MAULE,DISTRITO 17,VICHUQUEN
DE LA ARAUCANIA,DISTRITO 22,VICTORIA
DE COQUIMBO,DISTRITO 5,VICUÑA
DE LA ARAUCANIA,DISTRITO 22,VILCUN
DEL MAULE,DISTRITO 18,VILLA ALEGRE
DE VALPARAISO,DISTRITO 6,VILLA ALEMANA
DE LA ARAUCANIA,DISTRITO 23,VILLARRICA
DE VALPARAISO,DISTRITO 7,VIÑA DEL MAR
METROPOLITANA DE SANTIAGO,DISTRITO 11,VITACURA
DEL MAULE,DISTRITO 18,YERBAS BUENAS
DEL BIOBIO,DISTRITO 21,YUMBEL
DE ÑUBLE,DISTRITO 19,YUNGAY
DE VALPARAISO,DISTRITO 6,ZAPALLAR
